zip,fips,year,effectiveDate
73441,40001,2023,01-01-2023
73059,40015,2023,01-01-2023
57260,38077,2023,01-01-2023
59007,30009,2023,01-01-2023
55304,27003,2023,01-01-2023
37388,47003,2023,01-01-2023
37379,47007,2023,01-01-2023
37754,47001,2023,01-01-2023
24658,51027,2023,01-01-2023
58058,38077,2023,01-01-2023
42122,21003,2023,01-01-2023
44057,39007,2023,01-01-2023
47162,18019,2023,01-01-2023
47326,18001,2023,01-01-2023
46001,18035,2023,01-01-2023
17303,42001,2023,01-01-2023
15046,42003,2023,01-01-2023
26201,54097,2023,01-01-2023
79766,48329,2023,01-01-2023
19943,10001,2023,01-01-2023
84151,49035,2023,01-01-2023
84170,49035,2023,01-01-2023
83680,16001,2023,01-01-2023
48015,26099,2023,01-01-2023
39079,28007,2023,01-01-2023
89122,32003,2023,01-01-2023
29170,45063,2023,01-01-2023
23002,51007,2023,01-01-2023
24504,51031,2023,01-01-2023
24550,51031,2023,01-01-2023
23404,51001,2023,01-01-2023
23420,51001,2023,01-01-2023
30529,13011,2023,01-01-2023
31034,13009,2023,01-01-2023
39090,28007,2023,01-01-2023
71043,22017,2023,01-01-2023
71153,22017,2023,01-01-2023
65232,29007,2023,01-01-2023
55748,27001,2023,01-01-2023
53913,55021,2023,01-01-2023
52225,19011,2023,01-01-2023
54344,55009,2023,01-01-2023
55070,27003,2023,01-01-2023
37769,47001,2023,01-01-2023
26405,54001,2023,01-01-2023
47122,18061,2023,01-01-2023
84774,49053,2023,01-01-2023
49746,26007,2023,01-01-2023
49615,26009,2023,01-01-2023
46780,18001,2023,01-01-2023
46704,18003,2023,01-01-2023
46808,18003,2023,01-01-2023
89410,32005,2023,01-01-2023
89413,32005,2023,01-01-2023
88044,35013,2023,01-01-2023
88340,35035,2023,01-01-2023
87109,35001,2023,01-01-2023
87827,35003,2023,01-01-2023
87111,35001,2023,01-01-2023
87049,35006,2023,01-01-2023
38961,28135,2023,01-01-2023
