Radius
36.0
50.0
12.0
50.0
12.0
50.0
50.0
38.0
50.0
50.0
12.0
11.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
16.0
50.0
46.0
50.0
50.0
48.0
50.0
50.0
50.0
30.0
30.0
7.0
50.0
22.0
18.0
20.0
50.0
50.0
50.0
8.0
4.0
8.0
44.0
44.0
40.0
44.0
34.0
50.0
50.0
22.0
50.0
50.0
34.0
8.0
30.0
42.0
50.0
50.0
14.0
50.0
34.0
50.0
50.0
50.0
9.0
50.0
44.0
50.0
50.0
24.0
16.0
50.0
50.0
50.0
50.0
46.0
8.0
38.0
50.0
30.0
11.0
50.0
50.0
50.0
50.0
7.0
20.0
46.0
50.0
50.0
40.0
22.0
50.0
50.0
50.0
22.0
12.0
9.0
36.0
14.0
10.0
14.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
44.0
20.0
44.0
9.0
12.0
24.0
4.0
4.0
4.0
4.0
9.0
7.0
4.0
4.0
4.0
44.0
22.0
50.0
50.0
24.0
32.0
42.0
48.0
14.0
20.0
26.0
50.0
20.0
28.0
28.0
46.0
28.0
28.0
46.0
24.0
44.0
50.0
50.0
50.0
50.0
50.0
50.0
30.0
36.0
34.0
30.0
50.0
32.0
14.0
50.0
50.0
48.0
32.0
26.0
30.0
50.0
11.0
50.0
42.0
30.0
14.0
50.0
36.0
32.0
50.0
50.0
50.0
50.0
50.0
14.0
50.0
14.0
50.0
46.0
42.0
50.0
50.0
38.0
36.0
24.0
36.0
50.0
50.0
7.0
50.0
18.0
14.0
26.0
18.0
16.0
50.0
44.0
50.0
50.0
20.0
50.0
30.0
18.0
50.0
50.0
44.0
32.0
38.0
50.0
32.0
36.0
20.0
50.0
42.0
40.0
12.0
12.0
12.0
6.0
50.0
8.0
14.0
40.0
44.0
44.0
50.0
50.0
36.0
50.0
50.0
50.0
12.0
50.0
50.0
50.0
50.0
26.0
32.0
30.0
48.0
22.0
50.0
50.0
50.0
50.0
20.0
11.0
50.0
48.0
40.0
50.0
10.0
50.0
8.0
50.0
50.0
